,scientific_name,park_name,observations,category,common_names,conservation_status
9126,Thelypodium paniculatum,Yellowstone National Park,270,Vascular Plant,Northwestern Thelypody,
9127,Quiscalus mexicanus,Yosemite National Park,133,Bird,Great-Tailed Grackle,
9128,Potentilla drummondii ssp. drummondii,Great Smoky Mountains National Park,64,Vascular Plant,Drummond's Cinquefoil,
9129,Atrichum angustatum,Bryce National Park,124,Nonvascular Plant,Atrichum Moss,
9130,Agrostis stolonifera,Great Smoky Mountains National Park,77,Vascular Plant,Creeping Bentgrass,
9131,Neotoma floridana,Yellowstone National Park,256,Mammal,Eastern Woodrat,
9132,Silene ovata,Yosemite National Park,110,Vascular Plant,"Mountain Catchfly, Rough-Leaved Campion",Species of Concern
9133,Kyllinga brevifolioides,Bryce National Park,101,Vascular Plant,"Pasture Flatsedge, Short-Foliaged Umbrella-Sedge",
9134,Calamagrostis canadensis,Bryce National Park,99,Vascular Plant,Bluejoint,
9135,Phoxinus oreas,Bryce National Park,116,Fish,Mountain Redbelly Dace,
9136,Plethodon,Yosemite National Park,140,Amphibian,Woodland Salamanders,
9137,Bolandra californica,Yellowstone National Park,243,Vascular Plant,Sierra False Coolwort,
9138,Carex microptera,Yellowstone National Park,265,Vascular Plant,"Ovalhead Sedge, Smallwing Sedge",
9139,Gyrinophilus porphyriticus,Yellowstone National Park,252,Amphibian,Spring Salamander,
9140,Opuntia polyacantha var. polyacantha,Yellowstone National Park,280,Vascular Plant,Hairspine Pricklypear,
9141,Atrichum crispum,Yellowstone National Park,252,Nonvascular Plant,Atrichum Moss,
9142,Andropogon virginicus,Bryce National Park,52,Vascular Plant,"Broom-Sedge, Virginia Broomsedge",
9143,Spiranthes ovalis,Great Smoky Mountains National Park,124,Vascular Plant,"Lesser Ladies'-Tresses, October Ladiestresses",
9144,Canis latrans,Yosemite National Park,99,Mammal,Coyote,Species of Concern
9145,Pedicularis lanceolata,Yellowstone National Park,251,Vascular Plant,Swamp Lousewort,
9146,Heuchera rubescens var. rydbergiana,Yosemite National Park,146,Vascular Plant,Pink Alumroot,
9147,Prunus munsoniana,Yellowstone National Park,209,Vascular Plant,"Munson Plum, Wild-Goose Plum",
9148,Vireo philadelphicus,Great Smoky Mountains National Park,110,Bird,Philadelphia Vireo,
9149,Orthotrichum ohioense,Great Smoky Mountains National Park,42,Nonvascular Plant,Ohio Orthotrichum Moss,
9150,Setophaga townsendi,Great Smoky Mountains National Park,58,Bird,Townsend's Warbler,
9151,Veronica anagallis-aquatica,Bryce National Park,81,Vascular Plant,Brook-Pimpernell,
9152,Polygala verticillata var. verticillata,Yellowstone National Park,247,Vascular Plant,Whorled Milkwort,
9153,Bromus racemosus,Yosemite National Park,121,Vascular Plant,Brome Grass,
9154,Ptychocheilus grandis,Great Smoky Mountains National Park,102,Fish,Sacramento Pikeminnow,
9155,Oxytropis sericea var. speciosa,Yellowstone National Park,275,Vascular Plant,White Locoweed,
9156,Trisetum canescens,Bryce National Park,95,Vascular Plant,Tall Trisetum,
9157,Trifolium aureum,Yosemite National Park,170,Vascular Plant,Yellow Or Hop-Clover,
9158,Rudbeckia triloba,Yosemite National Park,144,Vascular Plant,"Brown-Eyed Susan, Hree-Lobed Black-Eyed Susan",
9159,Aegopodium podagraria,Yellowstone National Park,249,Vascular Plant,"Bishops Goutweed, Old Man's Beard",
9160,Carex angustata,Great Smoky Mountains National Park,69,Vascular Plant,"Common Meadow Sedge, Widefruit Sedge",
9161,Stewartia ovata,Yellowstone National Park,251,Vascular Plant,"Mountain Camellia, Mountain Stewartia",
9162,Carex praticola,Bryce National Park,111,Vascular Plant,"Meadow Sedge, Northern Meadow Sedge",
9163,Prunus americana,Yosemite National Park,129,Vascular Plant,"American Plum, Wild Plum",
9164,Physalis pruinosa,Bryce National Park,79,Vascular Plant,Strawberry-Tomato,
9165,Prosartes trachycarpa,Yosemite National Park,162,Vascular Plant,Roughfruit Fairybells,
9166,Salix cascadensis,Yellowstone National Park,220,Vascular Plant,Cascade Willow,
9167,Malva pusilla,Yosemite National Park,152,Vascular Plant,Low Mallow,
9168,Cymopterus nivalis,Yosemite National Park,153,Vascular Plant,Snowline Springparsley,
9169,Equisetum fluviatile,Bryce National Park,88,Vascular Plant,"Pipes, River Horsetail, Water Horsetail",
9170,Fissidens osmundioides,Yosemite National Park,177,Nonvascular Plant,Osmund Fissidens Moss,
9171,Packera paupercula,Bryce National Park,59,Vascular Plant,Balsam Groundsel,
9172,Collinsia bartsiifolia var. davidsonii,Yosemite National Park,136,Vascular Plant,Davidson's Blue Eyed Mary,
9173,Gaylussacia ursina,Bryce National Park,116,Vascular Plant,Bear Huckleberry,
9174,Contopus sordidulus,Yosemite National Park,134,Bird,"Western Wood Pewee, Western Wood-Pewee",
9175,Elgaria coerulea palmeri,Yosemite National Park,122,Reptile,Sierra (Northern) Alligator Lizard,
9176,Lespedeza capitata,Great Smoky Mountains National Park,87,Vascular Plant,"Round-Head Bush-Clover, Round-Headed Bush Clover",
9177,Eriogonum prattenianum var. avium,Great Smoky Mountains National Park,84,Vascular Plant,Nevada City Buckwheat,
9178,Trillium cuneatum,Bryce National Park,87,Vascular Plant,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",
9179,Ornithogalum umbellatum,Bryce National Park,81,Vascular Plant,"Common Star-Of-Bethlehem, Star-Of-Bethlehem",
9180,Myiarchus cinerascens,Yosemite National Park,137,Bird,Ash-Throated Flycatcher,
9181,Dendroica discolor,Yosemite National Park,148,Bird,Prairie Warbler,
9182,Hypsiglena torquata nuchalata,Bryce National Park,94,Reptile,California Nightsnake,
9183,Taricha sierrae,Great Smoky Mountains National Park,81,Amphibian,Sierra Newt,
9184,Quercus X saulii,Yosemite National Park,174,Vascular Plant,Saul's Oak,
9185,Mitella breweri,Yosemite National Park,158,Vascular Plant,Brewer's Miterwort,
9186,Plagiomnium ciliare,Great Smoky Mountains National Park,93,Nonvascular Plant,Plagiomnium Moss,
9187,Aster ascendens,Yosemite National Park,120,Vascular Plant,Chile Aster,
9188,Trifolium ciliolatum,Great Smoky Mountains National Park,51,Vascular Plant,Foothill Clover,
9189,Asclepias speciosa,Yellowstone National Park,278,Vascular Plant,Showy Milkweed,
9190,Chenopodium pratericola,Yosemite National Park,160,Vascular Plant,Desert Goosefoot,
9191,Oncorhynchus mykiss aguabonita,Yellowstone National Park,254,Fish,California Golden Trout,
9192,Nothocalais nigrescens,Yosemite National Park,181,Vascular Plant,Meadow Prairie-Dandelion,
9193,Gratiola floridana,Great Smoky Mountains National Park,60,Vascular Plant,Florida Hedgehyssop,
9194,Poncirus trifoliata,Yellowstone National Park,270,Vascular Plant,Trifoliate Orange,
9195,Geococcyx californianus,Bryce National Park,136,Bird,Greater Roadrunner,
9196,Potentilla glandulosa ssp. glandulosa,Bryce National Park,122,Vascular Plant,Sticky Cinquefoil,
9197,Carex amplifolia,Yosemite National Park,143,Vascular Plant,Bigleaf Sedge,
9198,Elymus stebbinsii,Yellowstone National Park,275,Vascular Plant,Parish Wheatgrass,
9199,Geranium columbinum,Yosemite National Park,159,Vascular Plant,"Long-Stalk Crane's-Bill, Long-Stalked Cranesbill",
9200,Hutchinsia procumbens,Yosemite National Park,192,Vascular Plant,"Ovalpurse, Prostrate Hutchinsia",
9201,Senecio integerrimus var. exaltatus,Yosemite National Park,122,Vascular Plant,"Columbia Groundsel, Columbia Ragwort",
9202,Secale cereale,Bryce National Park,64,Vascular Plant,"Cultivated Rye, Rye",
9203,Yucca filamentosa,Yellowstone National Park,269,Vascular Plant,Adam's-Needle,
9204,Zigadenus venenosus var. venenosus,Yellowstone National Park,243,Vascular Plant,Meadow Deathcamas,
9205,Verbascum thapsus,Yosemite National Park,135,Vascular Plant,"Common Mullein, Great Mullein",
9206,Physaria acutifolia var. acutifolia,Great Smoky Mountains National Park,45,Vascular Plant,"Sharpleaf Twinpod, Southern Twinpod",
9207,Helianthus,Great Smoky Mountains National Park,83,Vascular Plant,Sunflower,
9208,Madia elegans ssp. elegans,Yellowstone National Park,224,Vascular Plant,Common Madia,
9209,Smelowskia calycina var. americana,Yosemite National Park,152,Vascular Plant,American False Candytuft,
9210,Osmorhiza longistylis,Yosemite National Park,127,Vascular Plant,"Long-Styled Anise-Root, Smoother Sweet-Cicely",
9211,Smilax herbacea,Great Smoky Mountains National Park,53,Vascular Plant,"Carrion Flower, Smooth Herbaceous Greenbrier",
9212,Commelina erecta,Bryce National Park,112,Vascular Plant,"Erect Dayflower, Slender Dayflower",
9213,Potentilla biennis,Yellowstone National Park,221,Vascular Plant,Biennial Cinquefoil,
9214,Populus angustifolia,Yellowstone National Park,226,Vascular Plant,Narrowleaf Cottonwood,
9215,Oxytropis deflexa var. sericea,Great Smoky Mountains National Park,47,Vascular Plant,"Blue Nodding Locoweed, Longstem Hangpod Crazyweed, Pendant-Pod Locoweed",
9216,Eclipta prostrata,Yosemite National Park,142,Vascular Plant,Eclipta,
9217,Arabis lemmonii var. lemmonii,Yellowstone National Park,255,Vascular Plant,Lemmon's Rockcress,
9218,Melanerpes erythrocephalus,Bryce National Park,131,Bird,Red-Headed Woodpecker,
9219,Rallus limicola,Yellowstone National Park,251,Bird,Virginia Rail,
9220,Asclepias tuberosa,Yosemite National Park,137,Vascular Plant,"Butterfly-Weed, Butterfly Milkweed",
9221,Antennaria corymbosa,Bryce National Park,110,Vascular Plant,"Flattop Pussytoes, Flat-Top Pussytoes, Meadow Everlasting",
9222,Lolium perenne ssp. multiflorum,Bryce National Park,73,Vascular Plant,Italian Ryegrass,
9223,Castilleja parviflora,Yellowstone National Park,255,Vascular Plant,Mountain Indian Paintbrush,
9224,Viola blanda,Great Smoky Mountains National Park,85,Vascular Plant,Sweet White Violet,
9225,Acer macrophyllum,Bryce National Park,105,Vascular Plant,Bigleaf Maple,
9226,Silene dichotoma,Bryce National Park,139,Vascular Plant,Dichotoma Silene,
9227,Sterna fuscata,Great Smoky Mountains National Park,123,Bird,Sooty Tern,
9228,Homomallium adnatum,Bryce National Park,90,Nonvascular Plant,Homomallium Moss,
9229,Carya illinoinensis,Yellowstone National Park,263,Vascular Plant,Pecan,
9230,Iris verna var. smalliana,Great Smoky Mountains National Park,31,Vascular Plant,Dwarf Violet Iris,
9231,Dicranella heteromalla,Bryce National Park,97,Nonvascular Plant,Dicranella Moss,
9232,Celastrus orbiculatus,Bryce National Park,80,Vascular Plant,Oriental Bittersweet,
9233,Calochortus leichtlinii,Bryce National Park,117,Vascular Plant,"Leichtlin's Mariposa Lily, Smokey Mariposa",
9234,Nothocalais troximoides,Yellowstone National Park,264,Vascular Plant,"False Agoseris, Weevil Prairie-Dandelion",
9235,Lanius excubitor,Yellowstone National Park,218,Bird,"Great Grey Shrike, Northern Shrike",
9236,Fissidens bryoides,Yosemite National Park,142,Nonvascular Plant,Bryoid Fissidens Moss,
9237,Betula pendula,Great Smoky Mountains National Park,70,Vascular Plant,European Weeping Birch,
9238,Polypogon maritimus,Bryce National Park,110,Vascular Plant,Mediterranean Rabbitsfoot Grass,
9239,Anthemis arvensis,Yosemite National Park,152,Vascular Plant,"Corn Camomile, Corn-Chamomile",
9240,Salvelinus fontinalis,Yosemite National Park,144,Fish,Brook Trout,
9241,Polycarpon tetraphyllum,Yellowstone National Park,227,Vascular Plant,Fourleaf Manyseed,
9242,Carex aggregata,Yosemite National Park,194,Vascular Plant,Glomerate Sedge,
9243,Ceanothus integerrimus,Yellowstone National Park,266,Vascular Plant,"Deerbrush, Deerbrush Ceanothus",
9244,Rubus phoenicolasius,Yosemite National Park,124,Vascular Plant,"Wine Raspberry, Wineberry",
9245,Calamagrostis rubescens,Yellowstone National Park,229,Vascular Plant,Pinegrass,
9246,Sturnella magna,Yellowstone National Park,233,Bird,Eastern Meadowlark,
9247,Cerastium glomeratum,Bryce National Park,125,Vascular Plant,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed",
9248,Arabis lyrata,Bryce National Park,81,Vascular Plant,"Lyre-Leaf Rockcress, Lyre-Leaved Rockcress",
9249,Gymnostomum aeruginosum,Great Smoky Mountains National Park,72,Nonvascular Plant,Gymnostomum Moss,
9250,Briza minor,Bryce National Park,87,Vascular Plant,Little Quakinggrass,
9251,Campylium chrysophyllum,Bryce National Park,99,Nonvascular Plant,Goldenleaf Campylium Moss,
9252,Juncus acuminatus,Yellowstone National Park,240,Vascular Plant,"Acuminate Rush, Sharp-Fruit Rush",
9253,Phoxinus tennesseensis,Yosemite National Park,135,Fish,Tennessee Dace,
9254,Spartina gracilis,Great Smoky Mountains National Park,56,Vascular Plant,Alkali Cordgrass,
9255,Polioptila caerulea,Great Smoky Mountains National Park,55,Bird,Blue-Gray Gnatcatcher,
9256,Desmognathus ocoee,Bryce National Park,55,Amphibian,Ocoee Salamander,
9257,Allium vineale,Yosemite National Park,166,Vascular Plant,Field Garlic,
9258,Carex stenoptila,Bryce National Park,112,Vascular Plant,Riverbank Sedge,
9259,Aconitum columbianum,Bryce National Park,63,Vascular Plant,Columbian Monkshood,
9260,Nemophila parviflora var. austiniae,Great Smoky Mountains National Park,54,Vascular Plant,"Groovelover, Smallflower Nemophila",
9261,Clematis virginiana,Yosemite National Park,137,Vascular Plant,"Virginia Virgin-Bower, Virgin's Bower",
9262,Cannabis sativa,Yellowstone National Park,252,Vascular Plant,"Hemp, Marijuana, Marijuana",
9263,Centaurea maculosa,Great Smoky Mountains National Park,59,Vascular Plant,Spotted Knapweed,
9264,Zannichellia palustris,Great Smoky Mountains National Park,80,Vascular Plant,"Horned Pondweed, Horned Poolmat, Horned-Pondweed",
9265,Carex debilis var. rudgei,Bryce National Park,110,Vascular Plant,"Necklace Sedge, White-Edge Sedge",
9266,Senecio streptanthifolius,Bryce National Park,119,Vascular Plant,Cleftleaf Groundsel,
9267,Hybopsis amblops,Yosemite National Park,173,Fish,Bigeye Chub,
9268,Setophaga pensylvanica,Yosemite National Park,191,Bird,Chestnut-Sided Warbler,
9269,Cyperus strigosus,Great Smoky Mountains National Park,53,Vascular Plant,"Straw-Colored Flatsedge, Umbrella-Sedge",
9270,Clintonia uniflora,Yosemite National Park,140,Vascular Plant,Bride's Bonnet,
9271,Rubus trivialis,Yosemite National Park,174,Vascular Plant,Southern Dewberry,
9272,Bouteloua gracilis,Yellowstone National Park,267,Vascular Plant,Blue Grama,
9273,Viola egglestonii,Yosemite National Park,178,Vascular Plant,Glade Violet,
9274,Viburnum prunifolium,Yosemite National Park,114,Vascular Plant,"Smooth Blackhaw, Smooth Black-Haw",
9275,Gaillardia pulchella,Yosemite National Park,166,Vascular Plant,"Firewheel, Indian Blanket, Indianblanket, Rosering Gaillardia",
9276,Streptopus lanceolatus var. lanceolatus,Great Smoky Mountains National Park,76,Vascular Plant,Twistedstalk,
9277,Hordeum jubatum,Yosemite National Park,149,Vascular Plant,Foxtail Barley,
9278,Bromus diandrus,Yellowstone National Park,252,Vascular Plant,Ripgut Brome,
9279,Collinsia parviflora,Bryce National Park,75,Vascular Plant,"Blue-Eyed Mary, Littleflower Collinsia, Maiden Blue Eyed Mary, Smallflower Blue Eyed Mary, Small-Flower Blue-Eyed Mary",
9280,Juglans nigra,Yosemite National Park,157,Vascular Plant,Black Walnut,
9281,Carex integra,Bryce National Park,110,Vascular Plant,"Smoothbead Sedge, Smoothbeak Sedge",
9282,Silene menziesii,Yosemite National Park,130,Vascular Plant,"Menzies' Campion, White Catchfly",
9283,Glaucomys sabrinus coloratus,Yosemite National Park,36,Mammal,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
9284,Camissonia breviflora,Yellowstone National Park,230,Vascular Plant,"Fewflower Evening Primrose, Fewflower Evening-Primrose, Shortflower Suncup",
9285,Juniperus scopulorum,Yellowstone National Park,208,Vascular Plant,Rocky Mountain Juniper,
9286,Prunus serotina,Bryce National Park,101,Vascular Plant,"Black Cherry, Wild Black Cherry",
9287,Opuntia humifusa,Yosemite National Park,154,Vascular Plant,Pricklypear,
9288,Spiraea betulifolia var. lucida,Yellowstone National Park,249,Vascular Plant,Shinyleaf Spirea,
9289,Thomomys talpoides,Yellowstone National Park,238,Mammal,Northern Pocket Gopher,
9290,Camissonia breviflora,Bryce National Park,83,Vascular Plant,"Fewflower Evening Primrose, Fewflower Evening-Primrose, Shortflower Suncup",
9291,Stellula calliope,Bryce National Park,104,Bird,Calliope Hummingbird,Species of Concern
9292,Oenothera biennis,Yosemite National Park,152,Vascular Plant,"Common Evening-Primrose, Evening Primrose",
9293,Spizella passerina,Great Smoky Mountains National Park,68,Bird,Chipping Sparrow,
9294,Ranunculus alismifolius var. alismellus,Yellowstone National Park,251,Vascular Plant,Plantainleaf Buttercup,
9295,Desmodium ochroleucum,Yosemite National Park,149,Vascular Plant,Cream Ticktrefoil,
9296,Lycopodium digitatum,Great Smoky Mountains National Park,114,Vascular Plant,Running-Pine,
9297,Chenopodium pumilio,Bryce National Park,76,Vascular Plant,"Clammy Goosefoot, Ridged Goosefoot",
9298,Puma concolor,Yosemite National Park,165,Mammal,Panther (Mountain Lion),
9299,Platystemon californicus,Yosemite National Park,135,Vascular Plant,"California Creamcups, Creamcups",
9300,Hulsea algida,Bryce National Park,62,Vascular Plant,"Alpine Hulsea, Pacific Hulsea",
9301,Potamogeton pulcher,Bryce National Park,72,Vascular Plant,Spotted Pondweed,
9302,Plethodon websteri,Bryce National Park,82,Amphibian,Webster's Salamander,
9303,Bromus japonicus,Yellowstone National Park,259,Vascular Plant,"Japanese Brome, Japanese Chess",
9304,Paspalum laeve,Great Smoky Mountains National Park,73,Vascular Plant,Field Paspalum,
9305,Tiarella cordifolia,Bryce National Park,87,Vascular Plant,"Heartleaf Foamflower, Heart-Leaved Foam-Flower",
9306,Melilotus officinalis,Bryce National Park,102,Vascular Plant,Yellow Sweet-Clover,
9307,Synandra hispidula,Great Smoky Mountains National Park,92,Vascular Plant,"Gyandotte Beauty, Synandra",
9308,Streptopus amplexifolius,Yellowstone National Park,258,Vascular Plant,"Clasping Twistedstalk, Claspleaf Twistedstalk, Twisted Stalk",
9309,Achnatherum pinetorum,Yosemite National Park,129,Vascular Plant,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",
9310,Cucurbita pepo,Bryce National Park,94,Vascular Plant,Field Pumpkin,
9311,Betula alleghaniensis var. alleghaniensis,Yosemite National Park,165,Vascular Plant,Yellow Birch,
9312,Sorex hoyi,Great Smoky Mountains National Park,87,Mammal,Pygmy Shrew,
9313,Vermivora leucobronchialis,Yellowstone National Park,252,Bird,Brewster's Warbler,
9314,Potentilla norvegica,Bryce National Park,104,Vascular Plant,"Norwegian Cinquefoil, Rough Cinquefoil",
9315,Melica imperfecta,Bryce National Park,80,Vascular Plant,Smallflower Melicgrass,
9316,Arabis drummondii,Great Smoky Mountains National Park,85,Vascular Plant,"Canadian Rockcress, Drummond Rockcress, Drummond's Rockcress",
9317,Pinus pungens,Yosemite National Park,138,Vascular Plant,Table Mountain Pine,
9318,Myotis lucifugus,Bryce National Park,103,Mammal,"Little Brown Bat, Little Brown Myotis",Species of Concern
9319,Cystopteris protrusa,Yellowstone National Park,280,Vascular Plant,Lowland Brittle Fern,
9320,Baptisia tinctoria,Great Smoky Mountains National Park,52,Vascular Plant,"Wild Indigo, Yellow Wild-Indigo",
9321,Hieracium pilosella,Great Smoky Mountains National Park,110,Vascular Plant,"Mouseear, Mouse-Ear Hawkweed",
9322,Phacelia imbricata ssp. imbricata,Bryce National Park,105,Vascular Plant,Imbricate Phacelia,
9323,Hackelia patens var. patens,Yosemite National Park,115,Vascular Plant,Spotted Stickseed,
9324,Carex nigromarginata,Great Smoky Mountains National Park,63,Vascular Plant,"Black-Edge Sedge, Black-Margined Sedge",
9325,Viola arvensis,Yellowstone National Park,245,Vascular Plant,Field Pansy,
9326,Rubus hispidus,Bryce National Park,91,Vascular Plant,"Bristley Dewberry, Swamp Dewberry",
9327,Argentina anserina,Yosemite National Park,167,Vascular Plant,Silverweed,
9328,Atrichum altecristatum,Yellowstone National Park,259,Nonvascular Plant,Atrichum Moss,
9329,Hypoxis hirsuta,Yellowstone National Park,225,Vascular Plant,"Eastern Yellow Star Grass, Yellow Star Grass",
9330,Ranunculus glaberrimus var. ellipticus,Bryce National Park,119,Vascular Plant,"Elliptical Buttercup, Sagebrush Buttercup",
9331,Senecio pauciflorus,Yellowstone National Park,212,Vascular Plant,Alpine Groundsel,
9332,Tragopogon porrifolius,Yellowstone National Park,266,Vascular Plant,Salsify,
9333,Plethodon dorsalis,Yosemite National Park,150,Amphibian,Northern Zigzag Salamander,
9334,Trichophorum caespitosus,Yosemite National Park,129,Vascular Plant,Deerhair Bulrush,
9335,Calidris minutilla,Yellowstone National Park,268,Bird,Least Sandpiper,
9336,Anomodon attenuatus,Yosemite National Park,199,Nonvascular Plant,Anomodon Moss,
9337,Carex texensis,Yosemite National Park,171,Vascular Plant,Texas Sedge,
9338,Physostegia virginiana ssp. praemorsa,Yellowstone National Park,217,Vascular Plant,Obedient Plant,
9339,Mycteria americana,Yellowstone National Park,226,Bird,Wood Stork,
9340,Campylium chrysophyllum,Yosemite National Park,120,Nonvascular Plant,Goldenleaf Campylium Moss,
9341,Polygonum polygaloides ssp. kelloggii,Yellowstone National Park,226,Vascular Plant,Kellogg's Knotweed,
9342,Ilex opaca,Yellowstone National Park,283,Vascular Plant,American Holly,
9343,Opuntia polyacantha var. polyacantha,Great Smoky Mountains National Park,83,Vascular Plant,Hairspine Pricklypear,
9344,Rhinichthys cataractae,Great Smoky Mountains National Park,68,Fish,Longnose Dace,
9345,Saxifraga micranthidifolia,Yosemite National Park,161,Vascular Plant,"Brook Lettuce, Lettuce-Leaf Saxifrage",
9346,Strophostyles umbellata,Yosemite National Park,144,Vascular Plant,"Pink Wild-Bean, Wild-Bean",
9347,Minuartia douglasii,Bryce National Park,109,Vascular Plant,Douglas' Stitchwort,
9348,Buxbaumia aphylla,Yosemite National Park,142,Nonvascular Plant,Bug-On-A-Stick,
9349,Amelanchier canadensis,Great Smoky Mountains National Park,89,Vascular Plant,Canadian Serviceberry,
9350,Philadelphus hirsutus,Yosemite National Park,145,Vascular Plant,Small-Flowered Hairy Mock-Orange,
9351,Hypericum punctatum,Yellowstone National Park,275,Vascular Plant,"Common St. John's-Wort, Dotted St. John's-Wort",
9352,Melozone crissalis,Yosemite National Park,144,Bird,California Towhee,
9353,Herniaria hirsuta ssp. hirsuta,Bryce National Park,111,Vascular Plant,Hairy Rupturewort,
9354,Polygonum caespitosum,Yellowstone National Park,261,Vascular Plant,"Bristled Knotweed, Bunchy Knotweed, Oriental Lady's Thumb, Oriental Ladysthumb",
9355,Hypericum mutilum,Great Smoky Mountains National Park,62,Vascular Plant,"Dwarf St. John's-Wort, Slender St. John's-Wort",
9356,Sagina decumbens,Bryce National Park,149,Vascular Plant,"Pearlwort, Small-Flowered Pearlwort",
9357,Sayornis phoebe,Bryce National Park,110,Bird,Eastern Phoebe,
9358,Leptodictyum riparium,Bryce National Park,112,Nonvascular Plant,Streamside Leptodictyum Moss,
9359,Eurybia conspicua,Yellowstone National Park,243,Vascular Plant,"Eastern Showy Aster, Western Showy Aster",
9360,Clintonia uniflora,Yellowstone National Park,227,Vascular Plant,Bride's Bonnet,
9361,Avena sativa,Great Smoky Mountains National Park,84,Vascular Plant,"Cultivated Oat, Oats",
9362,Galium parisiense,Yellowstone National Park,234,Vascular Plant,Wall Bedstraw,
9363,Carex albonigra,Yellowstone National Park,254,Vascular Plant,"Blackandwhite Sedge, Black-And-White Sedge",
9364,Penstemon canescens,Yellowstone National Park,256,Vascular Plant,"Gray Beardtongue, Hairy Beard-Tongue",
9365,Euderma maculatum,Yellowstone National Park,225,Mammal,"Spotted Bat, Spotted Bat",Species of Concern
9366,Lupinus breweri var. breweri,Yosemite National Park,107,Vascular Plant,Brewer's Lupine,
9367,Ameiurus natalis,Yellowstone National Park,240,Fish,Yellow Bullhead,
9368,Carex macloviana,Bryce National Park,72,Vascular Plant,"Falkland Island Sedge, Thickhead Sedge",
9369,Morus alba,Yosemite National Park,161,Vascular Plant,White Mulberry,
9370,Selaginella selaginoides,Great Smoky Mountains National Park,91,Vascular Plant,"Club Spikemoss, Clubmoss, Northern Spikemoss",
9371,Bazzania denudata,Bryce National Park,102,Nonvascular Plant,Bazzania,
9372,Tauschia hartwegii,Great Smoky Mountains National Park,96,Vascular Plant,Hartweg's Umbrellawort,
9373,Branta hutchinsii,Yellowstone National Park,297,Bird,Cackling Goose,
9374,Picris hieracioides,Yellowstone National Park,259,Vascular Plant,Hawkweed Oxtongue,
9375,Dicranum spurium,Yosemite National Park,132,Nonvascular Plant,Dicranum Moss,
9376,Anas clypeata,Bryce National Park,91,Bird,Northern Shoveler,
9377,Schistidium agassizii,Yosemite National Park,148,Nonvascular Plant,Agassiz's Schistidium Moss,
9378,Carya glabra,Yosemite National Park,134,Vascular Plant,"Pignut Hickory, Sweet Pignut Hickory",
9379,Viola pinetorum ssp. pinetorum,Yosemite National Park,152,Vascular Plant,Goosefoot Yellow Violet,
9380,Dicentra eximia,Bryce National Park,144,Vascular Plant,Bleeding Heart,
9381,Saxifraga micranthidifolia,Bryce National Park,117,Vascular Plant,"Brook Lettuce, Lettuce-Leaf Saxifrage",
9382,Psiloscops flammeolus,Great Smoky Mountains National Park,58,Bird,Flammulated Owl,
9383,Prunella vulgaris,Yellowstone National Park,259,Vascular Plant,"Heal-All, Self-Heal",
9384,Coturnicops noveboracensis,Bryce National Park,87,Bird,Yellow Rail,Species of Concern
9385,Uniola laxa,Yellowstone National Park,274,Vascular Plant,Slender Spikegrass,
9386,Poecile gambeli,Bryce National Park,116,Bird,Mountain Chickadee,
9387,Dudleya cymosa ssp. cymosa,Bryce National Park,109,Vascular Plant,Canyon Liveforever,
9388,Carex mariposana,Bryce National Park,85,Vascular Plant,Mariposa Sedge,
9389,Histrionicus histrionicus,Yellowstone National Park,288,Bird,Harlequin Duck,
9390,Cuscuta californica var. breviflora,Yellowstone National Park,261,Vascular Plant,"California Dodder, Chaparral Dodder, Western Dodder",
9391,Passiflora incarnata,Great Smoky Mountains National Park,72,Vascular Plant,"Passion-Flower, May-Pop, Purple Passion-Flower",
9392,Pooecetes gramineus,Great Smoky Mountains National Park,102,Bird,Vesper Sparrow,
9393,Trillium luteum,Bryce National Park,101,Vascular Plant,Yellow Trillium,
9394,Carex nervina,Great Smoky Mountains National Park,55,Vascular Plant,"Nerved Sedge, Sierra Sedge",
9395,Plagiothecium cavifolium,Great Smoky Mountains National Park,87,Nonvascular Plant,Plagiothecium Moss,
9396,Phacelia fimbriata,Yosemite National Park,173,Vascular Plant,"Fringed Phacelia, Fringed Scorpion-Weed",
9397,Sorex nanus,Yosemite National Park,166,Mammal,"Dwarf Shrew, Rocky Mountain Dwarf Shrew",
9398,Tragopogon dubius,Yosemite National Park,161,Vascular Plant,"Common Salsify, Goat's Beard, Goatsbeard, Meadow Goat's-Beard, Salsifis Majeur, Salsify, Western Goat's Beard, Western Salsify, Wild Oysterplant, Yellow Goat's Beard, Yellow Salsify",
9399,Viola canadensis var. canadensis,Bryce National Park,125,Vascular Plant,Canadian Violet,
9400,Mentha spicata,Yosemite National Park,152,Vascular Plant,Spearmint,
9401,Bryum gemmiparum,Yosemite National Park,172,Nonvascular Plant,Bryum Moss,
9402,Contopus cooperi,Yosemite National Park,150,Bird,Olive-Sided Flycatcher,Species of Concern
9403,Euphorbia commutata,Bryce National Park,43,Vascular Plant,"Spurge, Wood Spurge",
9404,Camassia quamash ssp. breviflora,Great Smoky Mountains National Park,70,Vascular Plant,Small Camas,
9405,Sorghastrum nutans,Bryce National Park,109,Vascular Plant,"Indian Grass, Yellow Indian-Grass",
